* Sea-Bird SBE 25 Data File:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = E:\CTD\CAST002.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.21g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 2868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Jan 26 2016 19:32:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 28.8073 N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 26.7587 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Ship:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Station:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
** Operator:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Jan 26 2016 19:32:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude [deg],Longitude [deg],"Salinity, Practical [PSU]","Temperature [ITS-90, deg C]",Voltage 0,"Depth [salt water, m]",Conductivity [uS/cm],Conductivity [mS/cm],Conductivity [S/m],"Density [density, kg/m^3]","Density [sigma-theta, kg/m^3]","Density [sigma-t, kg/m^3 ]","Density [sigma-1, kg/m^3 ]","Density [sigma-4, kg/m^3 ]","Depth [salt water, m]",Descent Rate [m/s],"Fluorescence, WET Labs WETstar [mg/m^3]","Fluorescence, WET Labs WETstar, 2 [mg/m^3]","Fluorescence, WET Labs WETstar, Diff, 2 - 1 [mg/m^3]","Time, Elapsed [minutes]",Voltage 1,Voltage 2,Voltage 3,Voltage 4,"PAR/Irradiance, Biospherical/Licor","Oxygen, SBE 43 [% saturation]",Nitrogen Saturation [mg/l],Bottles Fired,Bottle Position in Carousel,Acceleration [m/s^2],flag:  0.000e+00
31.48012,-80.44598,36.1897,17.443,0.1087,1.064,4.67E+04,46.712688,4.671269,1026.3254,26.3208,26.3207,30.6262,42.9852,1.064,0,0.8572,2.8469,1.9897,0,0.2259,0.3321,1.895,0.8706,4.79E+02,78.402,12.32128,0,0,0,0.00E+00
31.48012,-80.44598,36.19,17.4429,0.105,1.064,4.67E+04,46.712979,4.671298,1026.3257,26.321,26.321,30.6265,42.9854,1.064,0,0.8063,2.7113,1.9051,0.0042,0.2186,0.3321,1.8889,0.8803,4.65E+02,77.928,12.32127,0,0,0,0.00E+00
31.48012,-80.44598,36.1891,17.4432,0.1087,1.064,4.67E+04,46.712252,4.671225,1026.325,26.3203,26.3202,30.6258,42.9847,1.064,0,0.8572,2.6888,1.8316,0.0083,0.2173,0.398,1.8828,0.9109,4.25E+02,77.355,12.32128,0,0,0,0.00E+00
31.48012,-80.44598,36.1877,17.4435,0.105,1.167,4.67E+04,46.711016,4.671102,1026.3243,26.3191,26.3191,30.6246,42.9836,1.167,0.028,0.8063,2.8017,1.9954,0.0125,0.2234,0.398,1.8767,0.8767,4.71E+02,76.717,12.32133,0,0,0.11,0.00E+00
31.4801,-80.446,36.1843,17.4441,0.1038,1.271,4.67E+04,46.707745,4.670775,1026.3219,26.3163,26.3163,30.6218,42.9808,1.271,0.076,0.7893,2.8469,2.0576,0.0167,0.2259,0.398,1.8706,0.8803,4.65E+02,76.046,12.32147,0,0,0.19,0.00E+00
31.4801,-80.446,36.1833,17.4454,0.1038,1.271,4.67E+04,46.707963,4.670796,1026.3209,26.3153,26.3152,30.6208,42.9797,1.271,0.111,0.7893,2.8017,2.0124,0.0208,0.2234,0.3736,1.8657,0.9206,4.13E+02,75.469,12.32128,0,0,0.14,0.00E+00
31.4801,-80.446,36.183,17.4463,0.1111,1.374,4.67E+04,46.708618,4.670862,1026.3209,26.3149,26.3148,30.6203,42.9792,1.374,0.16,0.8911,2.8695,1.9783,0.025,0.2271,0.3736,1.8632,0.9133,4.22E+02,75.135,12.32111,0,0,0.19,0.00E+00
31.4801,-80.446,36.1825,17.4467,0.1087,1.374,4.67E+04,46.7084,4.67084,1026.3204,26.3143,26.3143,30.6198,42.9787,1.374,0.188,0.8572,2.8695,2.0123,0.0292,0.2271,0.3736,1.862,0.906,4.31E+02,75.014,12.32106,0,0,0.11,0.00E+00
31.4801,-80.446,36.1827,17.4473,0.105,1.478,4.67E+04,46.709272,4.670927,1026.3209,26.3144,26.3143,30.6198,42.9787,1.478,0.222,0.8063,2.8695,2.0632,0.0333,0.2271,0.3736,1.8596,0.8974,4.42E+02,74.951,12.32093,0,0,0.14,0.00E+00
31.4801,-80.446,36.1847,17.4474,0.105,1.478,4.67E+04,46.711671,4.671167,1026.3224,26.3159,26.3158,30.6213,42.9801,1.478,0.229,0.8063,2.8695,2.0632,0.0375,0.2271,0.3907,1.8608,0.906,4.31E+02,75.31,12.32075,0,0,0.03,0.00E+00
31.4801,-80.446,36.1873,17.4476,0.105,1.478,4.67E+04,46.71487,4.671487,1026.3243,26.3178,26.3177,30.6232,42.9819,1.478,0.208,0.8063,2.8243,2.018,0.0417,0.2247,0.3907,1.8571,0.8901,4.52E+02,75.337,12.32049,0,0,-0.08,0.00E+00
31.4801,-80.446,36.1907,17.4476,0.105,1.478,4.67E+04,46.718796,4.67188,1026.3269,26.3204,26.3203,30.6258,42.9845,1.478,0.16,0.8063,2.8243,2.018,0.0458,0.2247,0.3907,1.8523,0.9255,4.07E+02,75.196,12.32021,0,0,-0.19,0.00E+00
31.4801,-80.446,36.1939,17.4477,0.1062,1.374,4.67E+04,46.722577,4.672258,1026.3289,26.3229,26.3228,30.6282,42.9869,1.374,0.09,0.8233,2.8243,2.001,0.05,0.2247,0.3907,1.8474,0.9255,4.07E+02,74.949,12.31993,0,0,-0.28,0.00E+00
31.4801,-80.446,36.195,17.4478,0.1074,1.374,4.67E+04,46.723958,4.672396,1026.3297,26.3237,26.3236,30.629,42.9876,1.374,0.042,0.8402,2.8469,2.0066,0.0542,0.2259,0.4005,1.8413,0.8999,4.39E+02,74.495,12.31982,0,0,-0.19,0.00E+00
