Latitude [deg],Longitude [deg],"Salinity, Practical [PSU]","Temperature [ITS-90, deg C]",Voltage 0,"Depth [salt water, m]",Conductivity [uS/cm],Conductivity [mS/cm],Conductivity [S/m],"Density [density, kg/m^3]","Density [sigma-theta, kg/m^3]","Density [sigma-t, kg/m^3 ]","Density [sigma-1, kg/m^3 ]","Density [sigma-4, kg/m^3 ]","Depth [salt water, m]",Descent Rate [m/s],"Fluorescence, WET Labs WETstar [mg/m^3]","Fluorescence, WET Labs WETstar, 2 [mg/m^3]","Fluorescence, WET Labs WETstar, Diff, 2 - 1 [mg/m^3]","Time, Elapsed [minutes]",Voltage 1,Voltage 2,Voltage 3,Voltage 4,"PAR/Irradiance, Biospherical/Licor","Oxygen, SBE 43 [% saturation]",Nitrogen Saturation [mg/l],Bottles Fired,Bottle Position in Carousel,Acceleration [m/s^2],flag:  0.000e+00
31.56064,-80.54072,33.4404,19.1959,0.221,1.166,4.52E+04,45.225816,4.522582,1023.785,23.7799,23.7798,28.0741,40.4014,1.166,0.041,0.8288,7.3528,6.524,0.0542,0.1685,0.21,2.0379,2.2454,7.02E+00,84.471,12.17352,0,0,0.06,0.00E+00
31.56064,-80.54072,33.4367,19.1957,0.2112,1.166,4.52E+04,45.221225,4.522123,1023.7823,23.7772,23.7771,28.0714,40.3988,1.166,0.037,0.7741,7.4578,6.6837,0.0583,0.1697,0.21,2.033,2.2149,7.70E+00,84.363,12.17385,0,0,-0.02,0.00E+00
31.56064,-80.54072,33.4356,19.1961,0.2247,1.166,4.52E+04,45.220293,4.522029,1023.7813,23.7762,23.7762,28.0705,40.3979,1.166,0.028,0.8493,7.5629,6.7135,0.0625,0.1709,0.21,2.0256,2.3162,5.67E+00,84.002,12.17385,0,0,-0.03,0.00E+00
31.56064,-80.54072,33.4352,19.1963,0.2063,1.227,4.52E+04,45.219934,4.521993,1023.7812,23.7758,23.7758,28.0701,40.3975,1.227,0.032,0.7468,7.6679,6.9211,0.0667,0.1722,0.2027,2.0183,2.2662,6.60E+00,83.575,12.17385,0,0,0.02,0.00E+00
31.56064,-80.54072,33.4341,19.1973,0.2002,1.227,4.52E+04,45.219504,4.52195,1023.7801,23.7747,23.7747,28.069,40.3964,1.227,0.028,0.7126,7.7729,7.0603,0.0708,0.1734,0.2039,2.011,2.2894,6.15E+00,83.081,12.17375,0,0,-0.02,0.00E+00
31.56064,-80.54072,33.4335,19.1975,0.2112,1.227,4.52E+04,45.219073,4.521907,1023.7797,23.7743,23.7742,28.0685,40.3959,1.227,0.037,0.7741,7.7729,6.9988,0.075,0.1734,0.2027,2.0037,2.2894,6.15E+00,82.55,12.17375,0,0,0.03,0.00E+00
31.56064,-80.54072,33.4337,19.1973,0.2149,1.287,4.52E+04,45.219074,4.521907,1023.7801,23.7744,23.7744,28.0687,40.3961,1.287,0.057,0.7946,7.8779,7.0833,0.0792,0.1746,0.2039,1.9976,2.3016,5.93E+00,82.113,12.17378,0,0,0.08,0.00E+00
31.56064,-80.54072,33.434,19.1969,0.2161,1.227,4.52E+04,45.219073,4.521907,1023.7802,23.7748,23.7747,28.069,40.3965,1.227,0.053,0.8015,7.7729,6.9714,0.0833,0.1734,0.2039,1.9939,2.2759,6.40E+00,81.889,12.17383,0,0,-0.02,0.00E+00
31.56064,-80.54072,33.4364,19.1965,0.221,1.287,4.52E+04,45.221656,4.522166,1023.7823,23.7767,23.7767,28.071,40.3983,1.287,0.061,0.8288,7.7729,6.9441,0.0875,0.1734,0.2039,1.9927,2.2955,6.04E+00,81.925,12.17371,0,0,0.03,0.00E+00
31.56064,-80.54072,33.4367,19.1961,0.2222,1.287,4.52E+04,45.221584,4.522158,1023.7826,23.777,23.777,28.0712,40.3986,1.287,0.061,0.8356,7.7729,6.9372,0.0917,0.1734,0.2039,1.9939,2.2869,6.20E+00,82.249,12.17377,0,0,1.24E-08,0.00E+00
31.56064,-80.54072,33.4386,19.1938,0.2173,1.227,4.52E+04,45.221656,4.522166,1023.7844,23.7791,23.779,28.0733,40.4008,1.227,0.037,0.8083,7.7729,6.9646,0.0958,0.1734,0.2027,1.9963,2.2796,6.33E+00,82.786,12.17409,0,0,-0.1,0.00E+00
31.56064,-80.54072,33.4407,19.1916,0.2076,1.227,4.52E+04,45.222015,4.522202,1023.7866,23.7813,23.7812,28.0756,40.4031,1.227,0.008,0.7536,7.8779,7.1243,0.1,0.1746,0.2039,1.9976,2.1722,8.76E+00,83.281,12.1744,0,0,-0.11,0.00E+00
31.56064,-80.54072,33.4433,19.1866,0.2357,1.227,4.52E+04,45.220366,4.522037,1023.7899,23.7845,23.7845,28.0789,40.4066,1.227,-0.004,0.9109,7.8779,6.967,0.1042,0.1746,0.1954,1.9988,2.2283,7.39E+00,83.757,12.1752,0,0,-0.05,0.00E+00
31.56064,-80.54072,33.4457,19.1836,0.2198,1.227,4.52E+04,45.220295,4.522029,1023.7924,23.7871,23.787,28.0815,40.4093,1.227,-0.016,0.822,7.8779,7.0559,0.1083,0.1746,0.1954,2,2.1551,9.22E+00,84.173,12.17563,0,0,-0.05,0.00E+00
31.56064,-80.54072,33.446,19.1821,0.2198,1.166,4.52E+04,45.219075,4.521908,1023.7928,23.7877,23.7876,28.0821,40.41,1.166,-0.045,0.822,7.8779,7.0559,0.1125,0.1746,0.1954,1.9988,2.2601,6.72E+00,84.299,12.17593,0,0,-0.11,0.00E+00
31.56064,-80.54072,33.4471,19.1815,0.2161,1.166,4.52E+04,45.219936,4.521994,1023.7938,23.7887,23.7887,28.0831,40.411,1.166,-0.049,0.8015,7.8779,7.0764,0.1167,0.1746,0.1954,1.9976,2.1587,9.12E+00,84.274,12.17596,0,0,-0.02,0.00E+00
31.56064,-80.54072,33.4472,19.1819,0.21,1.166,4.52E+04,45.220366,4.522037,1023.7938,23.7887,23.7886,28.0831,40.4109,1.166,-0.065,0.7673,7.8779,7.1106,0.1208,0.1746,0.1954,1.9939,2.232,7.31E+00,83.947,12.17588,0,0,-0.06,0.00E+00
31.56064,-80.54072,33.4482,19.1823,0.221,1.166,4.52E+04,45.222016,4.522202,1023.7945,23.7894,23.7893,28.0838,40.4116,1.166,-0.057,0.8288,7.9829,7.1541,0.125,0.1758,0.1966,1.9902,2.1966,8.14E+00,83.517,12.17571,0,0,0.03,0.00E+00
31.56064,-80.54072,33.4474,19.1842,0.221,1.106,4.52E+04,45.222876,4.522288,1023.7931,23.7883,23.7882,28.0826,40.4104,1.106,-0.057,0.8288,7.8779,7.0491,0.1292,0.1746,0.1966,1.9878,2.1941,8.20E+00,83.149,12.17539,0,0,4.95E-08,0.00E+00
31.56064,-80.54072,33.4467,19.1855,0.2161,1.106,4.52E+04,45.223307,4.522331,1023.7922,23.7874,23.7873,28.0817,40.4094,1.106,-0.065,0.8015,7.9829,7.1814,0.1333,0.1758,0.1966,1.9841,2.1758,8.66E+00,82.731,12.17516,0,0,-0.03,0.00E+00
31.56064,-80.54072,33.4458,19.1867,0.2186,1.106,4.52E+04,45.223306,4.522331,1023.7912,23.7863,23.7863,28.0807,40.4083,1.106,-0.065,0.8151,7.8779,7.0627,0.1375,0.1746,0.1966,1.9805,2.2076,7.87E+00,82.331,12.175,0,0,1.24E-08,0.00E+00
31.56064,-80.54072,33.4425,19.1881,0.2112,1.106,4.52E+04,45.220724,4.522072,1023.7883,23.7835,23.7834,28.0778,40.4054,1.106,-0.057,0.7741,7.9829,7.2088,0.1417,0.1758,0.1917,1.978,2.2063,7.90E+00,82.067,12.17496,0,0,0.03,0.00E+00
31.56064,-80.54072,33.4392,19.19,0.2112,1.106,4.52E+04,45.218643,4.521864,1023.7853,23.7805,23.7804,28.0748,40.4024,1.106,-0.041,0.7741,7.8779,7.1038,0.1458,0.1746,0.1917,1.9744,2.2186,7.62E+00,81.795,12.17483,0,0,0.06,0.00E+00
31.56064,-80.54072,33.4368,19.1908,0.2076,1.106,4.52E+04,45.216491,4.521649,1023.7833,23.7785,23.7784,28.0728,40.4004,1.106,-0.037,0.7536,7.9829,7.2293,0.15,0.1758,0.1917,1.9707,2.2149,7.70E+00,81.548,12.17486,0,0,0.02,0.00E+00
31.56064,-80.54072,33.435,19.1917,0.2039,1.106,4.52E+04,45.215272,4.521527,1023.7817,23.7769,23.7768,28.0712,40.3988,1.106,-0.028,0.7331,8.0879,7.3548,0.1542,0.177,0.1917,1.967,2.1893,8.32E+00,81.338,12.1748,0,0,0.03,0.00E+00
31.56064,-80.54072,33.4321,19.1928,0.2125,1.106,4.52E+04,45.212761,4.521276,1023.7792,23.7744,23.7743,28.0687,40.3963,1.106,-0.016,0.7809,7.9829,7.2019,0.1583,0.1758,0.2027,1.9621,2.2234,7.50E+00,81.022,12.17482,0,0,0.05,0.00E+00
31.56064,-80.54072,33.429,19.194,0.2991,1.166,4.52E+04,45.210179,4.521018,1023.7768,23.7717,23.7717,28.066,40.3937,1.166,0.016,1.2664,7.9829,6.7165,0.1625,0.1758,0.2027,1.9573,2.2015,8.02E+00,80.677,12.17482,0,0,0.13,0.00E+00
31.56064,-80.54072,33.426,19.1961,0.2479,1.166,4.52E+04,45.208601,4.52086,1023.774,23.7689,23.7689,28.0632,40.3908,1.166,0.028,0.9792,7.8779,6.8986,0.1667,0.1746,0.2027,1.9512,2.1111,1.05E+01,80.245,12.17462,0,0,0.05,0.00E+00
31.56064,-80.54072,33.425,19.1968,0.2247,1.227,4.52E+04,45.208171,4.520817,1023.7733,23.7679,23.7679,28.0622,40.3898,1.227,0.053,0.8493,7.9829,7.1336,0.1708,0.1758,0.2027,1.9487,2.2088,7.84E+00,80.06,12.17454,0,0,0.1,0.00E+00
31.56064,-80.54072,33.4247,19.1966,0.2125,1.227,4.52E+04,45.207597,4.52076,1023.7731,23.7678,23.7677,28.0621,40.3896,1.227,0.069,0.7809,7.8779,7.0969,0.175,0.1746,0.199,1.9475,2.1856,8.41E+00,80.004,12.17461,0,0,0.06,0.00E+00
31.56064,-80.54072,33.4254,19.1971,0.2173,1.227,4.52E+04,45.208888,4.520889,1023.7736,23.7682,23.7681,28.0625,40.39,1.227,0.077,0.8083,7.9829,7.1746,0.1792,0.1758,0.199,1.9487,2.2076,7.87E+00,80.213,12.17446,0,0,0.03,0.00E+00
31.56064,-80.54072,33.4256,19.1969,0.2198,1.287,4.52E+04,45.20896,4.520896,1023.774,23.7684,23.7683,28.0627,40.3903,1.287,0.093,0.822,7.9829,7.1609,0.1833,0.1758,0.199,1.9512,2.2173,7.64E+00,80.593,12.17449,0,0,0.06,0.00E+00
31.56064,-80.54072,33.4281,19.1959,0.2198,1.287,4.52E+04,45.21104,4.521104,1023.7761,23.7705,23.7705,28.0648,40.3924,1.287,0.097,0.822,7.9829,7.1609,0.1875,0.1758,0.199,1.956,2.2552,6.82E+00,81.231,12.17448,0,0,0.02,0.00E+00
31.56064,-80.54072,33.4296,19.1957,0.2186,1.287,4.52E+04,45.21269,4.521269,1023.7774,23.7717,23.7717,28.066,40.3936,1.287,0.089,0.8151,7.8779,7.0627,0.1917,0.1746,0.199,1.9597,2.2027,7.99E+00,81.856,12.17441,0,0,-0.03,0.00E+00
31.56064,-80.54072,33.4285,19.1959,0.2186,1.227,4.52E+04,45.211542,4.521154,1023.7762,23.7709,23.7708,28.0651,40.3927,1.227,0.053,0.8151,7.9829,7.1677,0.1958,0.1758,0.1966,1.9634,2.2418,7.10E+00,82.468,12.17445,0,0,-0.15,0.00E+00
31.56064,-80.54072,33.4281,19.1959,0.2186,1.227,4.52E+04,45.21104,4.521104,1023.7759,23.7705,23.7705,28.0648,40.3924,1.227,0.028,0.8151,7.9829,7.1677,0.2,0.1758,0.1966,1.9658,2.2662,6.60E+00,82.933,12.17448,0,0,-0.1,0.00E+00
