* Sea-Bird SBE 25 Data File:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = C:\Users\Install\data\SAV-17-03\Cast004.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 042868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Feb 03 2017 00:00:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 21.3998 N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 18.2223 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Feb 03 2017 00:00:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Latitude [deg], Longitude [deg]," Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs CDOM [mg/m^3]"," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2],flag
31.35666,-80.30372,35.9932,18.7157,0.2821,0.985,4.779575,47.795753,4.78E+04,1025.8575,25.8532,25.8532,30.1391,34.3307,0.073,6.5128,1.1707,0.0625,0.1587,0.2772,1.8852,2.8364,1.18E+00,76.546,12.07214,0,0,0.02,0.00E+00
31.35666,-80.30372,35.9977,18.7156,0.2601,0.925,4.780104,47.801038,4.78E+04,1025.8608,25.8567,25.8567,30.1426,34.3342,0.053,6.4078,1.0476,0.0667,0.1575,0.2759,1.8767,2.8376,1.18E+00,75.924,12.0718,0,0,-0.08,0.00E+00
31.35666,-80.30372,35.9992,18.7156,0.2552,0.925,4.78028,47.8028,4.78E+04,1025.8619,25.8579,25.8578,30.1437,34.3353,0.028,6.3028,1.0203,0.0708,0.1563,0.2747,1.8669,2.8779,1.04E+00,75.111,12.07168,0,0,-0.1,0.00E+00
31.35666,-80.30372,36.0003,18.716,0.265,0.864,4.780441,47.804414,4.78E+04,1025.8624,25.8586,25.8586,30.1444,34.336,-0.016,6.4078,1.075,0.075,0.1575,0.2747,1.8584,2.8217,1.23E+00,74.315,12.07153,0,0,-0.18,0.00E+00
31.35666,-80.30372,36.0005,18.7162,0.2967,0.864,4.780485,47.804854,4.78E+04,1025.8625,25.8587,25.8587,30.1445,34.3361,-0.041,6.5128,1.2527,0.0792,0.1587,0.2747,1.8523,2.8315,1.20E+00,73.738,12.07147,0,0,-0.1,0.00E+00
31.35666,-80.30372,36.0013,18.716,0.2979,0.804,4.780551,47.805515,4.78E+04,1025.8628,25.8593,25.8593,30.1451,34.3367,-0.077,6.5128,1.2596,0.0833,0.1587,0.2735,1.8486,2.8266,1.22E+00,73.445,12.07145,0,0,-0.15,0.00E+00
31.35666,-80.30372,36.0008,18.7162,0.2637,0.804,4.780522,47.805221,4.78E+04,1025.8624,25.8589,25.8589,30.1447,34.3363,-0.106,6.4078,1.0681,0.0875,0.1575,0.2808,1.8486,2.8388,1.17E+00,73.589,12.07144,0,0,-0.11,0.00E+00
31.35666,-80.30372,36.0004,18.7162,0.2759,0.804,4.780478,47.804781,4.78E+04,1025.8622,25.8586,25.8586,30.1444,34.3361,-0.106,6.4078,1.1365,0.0917,0.1575,0.2796,1.8474,2.8205,1.24E+00,73.826,12.07147,0,0,2.48E-08,0.00E+00
31.35666,-80.30372,36.001,18.7162,0.2967,0.864,4.780552,47.805515,4.78E+04,1025.8629,25.8591,25.8591,30.1449,34.3365,-0.077,6.3028,1.2527,0.0958,0.1563,0.2796,1.8449,2.8462,1.15E+00,74.026,12.07142,0,0,0.11,0.00E+00
31.35666,-80.30372,36.0015,18.7161,0.2882,0.864,4.780596,47.805956,4.78E+04,1025.8633,25.8595,25.8595,30.1453,34.3369,-0.041,6.1978,1.2049,0.1,0.1551,0.2943,1.84,2.8022,1.31E+00,74.046,12.07141,0,0,0.15,0.00E+00
