* Sea-Bird SBE 25 Data File,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = C,\Users\Install\data\SAV-16-40\cast-04.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 042868,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Dec 07 2016 10,39,56,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 21.2316 N,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 20.7145 W,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Dec 07 2016 22,39,56,,,,,,,,,,,,,,,,,,,,,,,,,
 Latitude [deg], Longitude [deg]," Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2],flag
31.35386,-80.34526,36.0626,21.2362,0.2222,1.106,5.050548,50.505484,5.05E+04,1025.2431,25.2383,25.2383,29.4849,33.6385,-0.203,0.8356,0.0667,0.1331,2.0672,1.884,2.7631,1.47E+00,76.677,11.57509,0,0,-0.05,0.00E+00
31.35386,-80.34526,36.0589,21.2374,0.1954,1.166,5.050225,50.502254,5.05E+04,1025.2402,25.2352,25.2351,29.4818,33.6353,-0.175,0.6852,0.0708,0.1331,2.0672,1.8742,2.7643,1.47E+00,75.696,11.57512,0,0,0.11,0.00E+00
31.35386,-80.34526,36.0627,21.239,0.2002,1.227,5.050856,50.508564,5.05E+04,1025.2429,25.2376,25.2376,29.4842,33.6377,-0.13,0.7126,0.075,0.1331,2.0684,1.8632,2.7802,1.40E+00,74.58,11.57456,0,0,0.18,0.00E+00
31.35386,-80.34526,36.0674,21.2423,0.1978,1.287,5.051803,50.518029,5.05E+04,1025.2459,25.2403,25.2403,29.4868,33.6402,-0.057,0.6989,0.0792,0.1331,2.0684,1.8535,2.7326,1.61E+00,73.61,11.57359,0,0,0.29,0.00E+00
31.35386,-80.34526,36.0656,21.2467,0.2076,1.287,5.052036,50.520357,5.05E+04,1025.2433,25.2377,25.2377,29.4841,33.6375,0.024,0.7536,0.0833,0.1319,2.1709,1.8413,2.7924,1.35E+00,72.587,11.5729,0,0,0.32,0.00E+00
31.35386,-80.34526,36.0555,21.2514,0.2149,1.348,5.051269,50.512694,5.05E+04,1025.2346,25.2288,25.2287,29.4751,33.6285,0.089,0.7946,0.0875,0.1331,2.1966,1.8303,2.735,1.60E+00,71.77,11.57277,0,0,0.26,0.00E+00
31.35386,-80.34526,36.0466,21.2504,0.2149,1.287,5.05006,50.5006,5.05E+04,1025.2278,25.2223,25.2222,29.4687,33.6222,0.114,0.7946,0.0917,0.1331,2.1966,1.8181,2.7875,1.37E+00,70.994,11.5736,0,0,0.1,0.00E+00
31.35386,-80.34526,36.054,21.2485,0.2161,1.287,5.050789,50.507887,5.05E+04,1025.234,25.2284,25.2284,29.4749,33.6283,0.114,0.8015,0.0958,0.1331,2.1966,1.8059,2.7643,1.47E+00,70.236,11.5734,0,0,-2.48E-08,0.00E+00
31.35386,-80.34526,36.0646,21.2477,0.2063,1.227,5.052013,50.520131,5.05E+04,1025.242,25.2367,25.2366,29.4831,33.6365,0.069,0.7468,0.1,0.1331,2.1954,1.7937,2.7509,1.53E+00,69.482,11.57278,0,0,-0.18,0.00E+00
31.35386,-80.34526,36.0704,21.2472,0.2198,1.227,5.052689,50.526892,5.05E+04,1025.2466,25.2413,25.2412,29.4876,33.641,0.016,0.822,0.1042,0.1331,2.1929,1.7814,2.746,1.55E+00,68.718,11.57245,0,0,-0.21,0.00E+00
31.35386,-80.34526,36.0723,21.2467,0.21,1.227,5.05287,50.528696,5.05E+04,1025.2482,25.2429,25.2428,29.4892,33.6426,-0.024,0.7673,0.1083,0.1331,2.1941,1.7705,2.779,1.40E+00,68.067,11.57241,0,0,-0.16,0.00E+00
31.35386,-80.34526,36.0711,21.2461,0.2002,1.227,5.052659,50.526592,5.05E+04,1025.2474,25.2421,25.2421,29.4885,33.6419,-0.049,0.7126,0.1125,0.1331,2.1941,1.7582,2.7082,1.74E+00,67.347,11.57261,0,0,-0.1,0.00E+00
31.35386,-80.34526,36.0691,21.245,0.21,1.287,5.052291,50.522911,5.05E+04,1025.2464,25.2409,25.2408,29.4873,33.6407,-0.037,0.7673,0.1167,0.1331,2.1941,1.746,2.674,1.93E+00,66.661,11.57296,0,0,0.05,0.00E+00
31.35386,-80.34526,36.0667,21.2452,0.3956,1.287,5.052013,50.520132,5.05E+04,1025.2445,25.239,25.2389,29.4854,33.6388,-0.024,1.8066,0.1208,0.1331,2.2967,1.7375,2.4188,4.16E+00,66.234,11.5731,0,0,0.05,0.00E+00
31.35386,-80.34526,36.0608,21.2467,0.2894,1.348,5.051442,50.514423,5.05E+04,1025.2399,25.2341,25.234,29.4805,33.6339,0.024,1.2117,0.125,0.1331,2.2967,1.7302,2.4017,4.38E+00,65.964,11.57325,0,0,0.19,0.00E+00
31.35386,-80.34526,36.0556,21.247,0.2295,1.348,5.050826,50.508263,5.05E+04,1025.2359,25.23,25.23,29.4765,33.6299,0.053,0.8767,0.1292,0.1331,2.2967,1.7253,2.4383,3.92E+00,65.918,11.57357,0,0,0.11,0.00E+00
31.35386,-80.34526,36.0453,21.2471,0.221,1.408,5.049557,50.495569,5.05E+04,1025.2283,25.2222,25.2221,29.4687,33.6222,0.093,0.8288,0.1333,0.1331,2.2967,1.7241,2.3382,5.31E+00,66.199,11.57432,0,0,0.16,0.00E+00
