" Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs CDOM [mg/m^3]"," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2], Latitude [deg], Longitude [deg],flag
35.6799,29.1202,0,1.766,5.840667,58.406672,5.84E+04,1022.542,22.5345,22.5344,26.6807,30.7368,-0.012,0.9378,0.2295,0.0111,0,0.0952,0.0659,1.6899,55.09,10.29409,0,0,-0.08,31.3645,-80.31882,0.00E+00
35.6806,29.1196,0,1.753,5.840711,58.407109,5.84E+04,1022.5427,22.5353,22.5351,26.6815,30.7376,-0.015,0.9378,0.2119,0.0118,0,0.0952,0.0647,1.6911,55.155,10.29413,0,0,-0.09,31.3645,-80.31882,0.00E+00
35.6805,29.1196,0,1.735,5.840689,58.40689,5.84E+04,1022.5425,22.5351,22.535,26.6813,30.7375,-0.02,0.9378,0.2295,0.0125,0,0.0952,0.0659,1.6911,55.161,10.29414,0,0,-0.11,31.3645,-80.31882,0.00E+00
35.6804,29.1196,0,1.714,5.84068,58.406803,5.84E+04,1022.5424,22.5351,22.535,26.6813,30.7375,-0.026,0.9378,0.2295,0.0132,0,0.0952,0.0659,1.6911,55.167,10.29414,0,0,-0.14,31.36454,-80.31896,0.00E+00
35.68,29.1196,0,1.714,5.840615,58.406147,5.84E+04,1022.542,22.5347,22.5346,26.6809,30.7371,-0.031,0.8713,0.2119,0.0139,0,0.094,0.0647,1.6923,55.233,10.29417,0,0,-0.13,31.36454,-80.31896,0.00E+00
35.6791,29.1196,0,1.705,5.840492,58.404922,5.84E+04,1022.5413,22.5341,22.534,26.6803,30.7365,-0.037,0.9378,0.2119,0.0146,0,0.0952,0.0647,1.6923,55.242,10.29422,0,0,-0.14,31.36454,-80.31896,0.00E+00
35.6778,29.1202,0,1.671,5.840361,58.40361,5.84E+04,1022.54,22.5329,22.5328,26.6791,30.7353,-0.044,0.8713,0.2119,0.0153,0,0.094,0.0647,1.6935,55.309,10.29422,0,0,-0.18,31.36454,-80.31896,0.00E+00
35.6774,29.1202,0,1.663,5.840295,58.402954,5.84E+04,1022.5396,22.5326,22.5325,26.6788,30.735,-0.051,0.9378,0.247,0.016,0,0.0952,0.0672,1.6935,55.319,10.29425,0,0,-0.18,31.36454,-80.31896,0.00E+00
35.6765,29.1211,0,1.653,5.840274,58.402735,5.84E+04,1022.5386,22.5316,22.5315,26.6778,30.734,-0.059,0.8713,0.2295,0.0167,0,0.094,0.0659,1.6935,55.329,10.29416,0,0,-0.18,31.36454,-80.31896,0.00E+00
35.6757,29.1211,0,1.642,5.840151,58.401511,5.84E+04,1022.5379,22.531,22.5309,26.6772,30.7334,-0.067,0.8713,0.2295,0.0174,0,0.094,0.0659,1.6947,55.398,10.29421,0,0,-0.19,31.36454,-80.31896,0.00E+00
