* Sea-Bird SBE 25 Data File,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = C,\Users\Install\data\001.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 042868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Nov 01 2016 17,36,35,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 33.3698 N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 31.7563 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Nov 02 2016 05,36,35,,,,,,,,,,,,,,,,,,,,,,,,,,
 Latitude [deg], Longitude [deg]," Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs WETstar [mg/m^3]"," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2],flag
31.55616,-80.52928,35.6991,23.8381,0.2088,1.952,5.278157,52.781568,5.28E+04,1024.2273,24.2189,24.2188,28.4307,32.5506,0.081,0.7604,0.7604,0.0625,0.1514,0.7057,1.8596,1.0452,2.63E+02,77.445,11.13382,0,0,0.06,0.00E+00
31.55616,-80.52928,35.6989,23.8382,0.2137,1.892,5.278134,52.781338,5.28E+04,1024.2268,24.2187,24.2185,28.4305,32.5504,0.061,0.7878,0.7878,0.0667,0.1514,0.7057,1.8547,1.0403,2.67E+02,76.668,11.13382,0,0,-0.08,0.00E+00
31.55616,-80.52928,35.6992,23.8382,0.2137,1.832,5.27818,52.781797,5.28E+04,1024.2267,24.2189,24.2188,28.4307,32.5506,0.004,0.7878,0.7878,0.0708,0.1502,0.7057,1.8474,1.0464,2.62E+02,75.691,11.13378,0,0,-0.23,0.00E+00
31.55616,-80.52928,35.6994,23.8384,0.21,1.771,5.278226,52.782256,5.28E+04,1024.2266,24.219,24.2189,28.4309,32.5507,-0.069,0.7673,0.7673,0.075,0.1502,0.7057,1.8413,1.0464,2.62E+02,74.807,11.13374,0,0,-0.29,0.00E+00
31.55616,-80.52928,35.6991,23.8384,0.2002,1.711,5.27818,52.781796,5.28E+04,1024.2261,24.2188,24.2187,28.4306,32.5505,-0.134,0.7126,0.7126,0.0792,0.1514,0.7106,1.8339,1.0354,2.71E+02,73.924,11.13377,0,0,-0.26,0.00E+00
31.55616,-80.52928,35.6989,23.8381,0.2137,1.65,5.278126,52.78126,5.28E+04,1024.2258,24.2187,24.2186,28.4305,32.5504,-0.183,0.7878,0.7878,0.0833,0.1514,0.7106,1.8278,1.0342,2.72E+02,73.24,11.13382,0,0,-0.19,0.00E+00
31.55616,-80.52928,35.6991,23.8384,0.2259,1.65,5.27818,52.781796,5.28E+04,1024.2259,24.2188,24.2187,28.4306,32.5505,-0.211,0.8562,0.8562,0.0875,0.1514,0.7106,1.8205,1.0317,2.74E+02,72.588,11.13377,0,0,-0.11,0.00E+00
31.55616,-80.52928,35.6995,23.8382,0.2247,1.65,5.278203,52.782026,5.28E+04,1024.2262,24.2191,24.219,28.4309,32.5508,-0.199,0.8493,0.8493,0.0917,0.1514,0.7106,1.812,1.0403,2.67E+02,71.945,11.13378,0,0,0.05,0.00E+00
31.55616,-80.52928,35.6991,23.8384,0.232,1.65,5.27818,52.781796,5.28E+04,1024.2259,24.2188,24.2187,28.4306,32.5505,-0.162,0.8903,0.8903,0.0958,0.1502,0.7289,1.8022,1.0366,2.70E+02,71.239,11.13377,0,0,0.15,0.00E+00
31.55616,-80.52928,35.6987,23.8385,0.2247,1.711,5.278149,52.78149,5.28E+04,1024.2258,24.2185,24.2183,28.4303,32.5501,-0.106,0.8493,0.8493,0.1,0.1514,0.7289,1.7924,1.0256,2.79E+02,70.569,11.13376,0,0,0.23,0.00E+00
