Latitude [deg],Longitude [deg],"Salinity, Practical [PSU]","Temperature [ITS-90, deg C]",Voltage 0,"Depth [salt water, m]",Conductivity [uS/cm],Conductivity [mS/cm],Conductivity [S/m],"Density [density, kg/m^3]","Density [sigma-theta, kg/m^3]","Density [sigma-t, kg/m^3 ]","Density [sigma-1, kg/m^3 ]","Density [sigma-4, kg/m^3 ]","Depth [salt water, m]",Descent Rate [m/s],"Fluorescence, WET Labs WETstar [mg/m^3]","Fluorescence, WET Labs WETstar, 2 [mg/m^3]","Fluorescence, WET Labs WETstar, Diff, 2 - 1 [mg/m^3]","Time, Elapsed [minutes]",Voltage 1,Voltage 2,Voltage 3,Voltage 4,"PAR/Irradiance, Biospherical/Licor","Oxygen, SBE 43 [% saturation]",Nitrogen Saturation [mg/l],Bottles Fired,Bottle Position in Carousel,Acceleration [m/s^2],flag:  0.000e+00
31.37364,-80.32286,35.9859,19.4361,0.1099,1.271,4.85E+04,48.532789,4.853279,1025.6678,25.6623,25.6622,29.9367,42.2084,1.271,-0.146,0.8742,2.1466,1.2725,0.0417,0.188,0.1893,1.917,1.011,3.15E+02,78.127,11.9278,0,0,-0.42,0.00E+00
31.37364,-80.32286,35.9841,19.4344,0.1099,1.167,4.85E+04,48.5288,4.85288,1025.6664,25.6613,25.6613,29.9358,42.2076,1.167,-0.236,0.8742,2.1015,1.2273,0.0458,0.1856,0.1893,1.9133,1.0073,3.19E+02,78.072,11.92828,0,0,-0.36,0.00E+00
31.37364,-80.32286,35.9811,19.4351,0.1087,1.064,4.85E+04,48.525919,4.852592,1025.6635,25.6588,25.6588,29.9333,42.2052,1.064,-0.299,0.8572,2.0789,1.2217,0.05,0.1844,0.1893,1.9084,0.9939,3.32E+02,77.853,11.92836,0,0,-0.25,0.00E+00
31.37364,-80.32286,35.9825,19.4353,0.1062,1.064,4.85E+04,48.527766,4.852777,1025.6645,25.6598,25.6598,29.9343,42.2061,1.064,-0.292,0.8233,2.0111,1.1878,0.0542,0.1807,0.1917,1.9023,1.0342,2.94E+02,77.488,11.92822,0,0,0.03,0.00E+00
31.37364,-80.32286,35.9976,19.4355,0.1087,1.064,4.85E+04,48.54616,4.854616,1025.676,25.6714,25.6713,29.9458,42.2173,1.064,-0.278,0.8572,2.0111,1.1539,0.0583,0.1807,0.1917,1.895,0.9756,3.50E+02,76.983,11.92702,0,0,0.06,0.00E+00
31.37364,-80.32286,36.0086,19.4357,0.1148,1.064,4.86E+04,48.559606,4.855961,1025.6844,25.6797,25.6797,29.9541,42.2254,1.064,-0.229,0.9421,2.0789,1.1368,0.0625,0.1844,0.1917,1.8864,0.9377,3.92E+02,76.355,11.92614,0,0,0.19,0.00E+00
31.37364,-80.32286,36.0236,19.4364,0.1111,1.167,4.86E+04,48.578375,4.857837,1025.696,25.691,25.6909,29.9652,42.2362,1.167,-0.153,0.8911,2.0563,1.1651,0.0667,0.1832,0.1917,1.8791,0.9744,3.52E+02,75.76,11.92484,0,0,0.31,0.00E+00
31.37364,-80.32286,36.0439,19.4368,0.1099,1.167,4.86E+04,48.603207,4.860321,1025.7115,25.7064,25.7064,29.9805,42.2511,1.167,-0.09,0.8742,2.0789,1.2047,0.0708,0.1844,0.1954,1.873,0.9878,3.38E+02,75.263,11.9232,0,0,0.25,0.00E+00
31.37364,-80.32286,36.0536,19.4369,0.1074,1.167,4.86E+04,48.614886,4.861489,1025.7189,25.7138,25.7137,29.9878,42.2583,1.167,-0.014,0.8402,2.0789,1.2386,0.075,0.1844,0.1954,1.8681,1.0562,2.75E+02,74.87,11.92245,0,0,0.31,0.00E+00
31.37364,-80.32286,36.0579,19.4371,0.1074,1.271,4.86E+04,48.620283,4.862028,1025.7225,25.717,25.7169,29.991,42.2614,1.271,0.069,0.8402,2.0789,1.2386,0.0792,0.1844,0.1954,1.8657,1.022,3.05E+02,74.758,11.92208,0,0,0.33,0.00E+00
