* Sea-Bird SBE 25 Data File:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* FileName = C:\Users\Install\data\SAV-16-34\003.hdr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Software Version Seasave V 7.26.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Temperature SN = 2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Conductivity SN = 042868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UpLoad Time = Oct 18 2016 23:43:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Latitude = 31 15.4317 N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA Longitude = 080 10.6791 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* NMEA UTC (Time) = none,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Store Lat/Lon Data = Append to Every Scan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Real-Time Sample Interval = 0.2500 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* System UTC = Oct 19 2016 11:43:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Latitude [deg], Longitude [deg]," Salinity, Practical [PSU]"," Temperature [ITS-90, deg C]", Voltage 0," Depth [salt water, m]", Conductivity [S/m], Conductivity [mS/cm], Conductivity [uS/cm]," Density [density, kg/m^3]"," Density [sigma-theta, kg/m^3]"," Density [sigma-t, kg/m^3 ]"," Density [sigma-1, kg/m^3 ]"," Density [sigma-2, kg/m^3 ]", Descent Rate [m/s]," Fluorescence, WET Labs WETstar [mg/m^3]"," Fluorescence, WET Labs WETstar [mg/m^3]"," Time, Elapsed [minutes]", Voltage 1, Voltage 2, Voltage 3, Voltage 4," PAR/Irradiance, Biospherical/Licor"," Oxygen, SBE 43 [% saturation]", Nitrogen Saturation [mg/l], Bottles Fired, Bottle Position in Carousel, Acceleration [m/s^2],flag
31.2572,-80.178,36.1009,26.4212,0.2564,1.832,5.608202,56.082021,5.61E+04,1023.7395,23.7317,23.7316,27.9077,31.9927,0.077,1.0271,1.0271,0.0625,0.1197,0.177,2.0024,2.3773,4.72E+00,82.014,10.6795,0,0,-0.16,0.00E+00
31.2572,-80.178,36.1017,26.4206,0.2479,1.711,5.608249,56.082492,5.61E+04,1023.7398,23.7326,23.7324,27.9085,31.9935,-0.02,0.9792,0.9792,0.0667,0.1197,0.177,1.9902,2.315,5.69E+00,81.035,10.67954,0,0,-0.39,0.00E+00
31.2572,-80.178,36.1032,26.4206,0.2466,1.65,5.608453,56.084534,5.61E+04,1023.7407,23.7337,23.7336,27.9096,31.9946,-0.114,0.9724,0.9724,0.0708,0.1197,0.177,1.9756,2.2796,6.33E+00,79.907,10.67944,0,0,-0.37,0.00E+00
31.2572,-80.178,36.1037,26.4201,0.2869,1.529,5.608453,56.084533,5.61E+04,1023.7407,23.7342,23.7341,27.9101,31.9951,-0.211,1.198,1.198,0.075,0.1184,0.1758,1.9609,2.2943,6.06E+00,78.861,10.67949,0,0,-0.39,0.00E+00
31.2572,-80.178,36.1023,26.4195,0.2784,1.469,5.608202,56.08202,5.61E+04,1023.7396,23.7334,23.7333,27.9093,31.9944,-0.284,1.1502,1.1502,0.0792,0.1197,0.1832,1.9451,2.2955,6.04E+00,77.856,10.67967,0,0,-0.29,0.00E+00
31.2572,-80.178,36.0998,26.4194,0.2344,1.469,5.607849,56.078486,5.61E+04,1023.7377,23.7315,23.7314,27.9074,31.9925,-0.288,0.904,0.904,0.0833,0.1197,0.1832,1.928,2.2943,6.06E+00,76.814,10.67985,0,0,-0.02,0.00E+00
31.2572,-80.178,36.1004,26.4192,0.304,1.469,5.607904,56.079035,5.61E+04,1023.7382,23.732,23.7319,27.9079,31.993,-0.276,1.2938,1.2938,0.0875,0.1209,0.1844,1.9121,2.3846,4.61E+00,75.853,10.67984,0,0,0.05,0.00E+00
31.2572,-80.178,36.108,26.4192,0.2589,1.529,5.608964,56.089638,5.61E+04,1023.7443,23.7378,23.7376,27.9137,31.9987,-0.215,1.0408,1.0408,0.0917,0.1209,0.1844,1.8974,2.3565,5.02E+00,74.961,10.67934,0,0,0.24,0.00E+00
31.2572,-80.178,36.1095,26.4197,0.2601,1.59,5.609215,56.092151,5.61E+04,1023.7455,23.7387,23.7386,27.9146,31.9996,-0.13,1.0476,1.0476,0.0958,0.1209,0.3614,1.8864,2.3089,5.80E+00,74.324,10.67917,0,0,0.34,0.00E+00
31.2572,-80.178,36.1116,26.4202,0.2857,1.711,5.609569,56.095686,5.61E+04,1023.7474,23.7401,23.74,27.916,32.001,-0.012,1.1912,1.1912,0.1,0.1197,0.3614,1.8779,2.3724,4.79E+00,73.941,10.67895,0,0,0.47,0.00E+00
