cruise_name,Profile_ID,Canister,Station,Latitude,Longitude,depth,date_local,In_water_time_local,In_water_DateTime_UTC,particles_per_L,bin_0_0_to_0_5,bin_gt_0_5_to_1_0,bin_gt_1_0_to_1_5,bin_gt_1_5_to_2_0,bin_gt_2_0_to_2_5,bin_gt_2_5_to_3_0,bin_gt_3_0_to_3_5,bin_gt_3_5_to_4_0,bin_gt_4_0_to_4_5,bin_gt_4_5
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,429.03,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,421.21,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,367.96,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,232.27,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,225.05,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,204.04,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,200.66,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,186.38,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,162.45,2004-12-23,02:55:00,2004-12-22T13:55Z,0.74,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,158.81,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,151.88,2004-12-23,02:55:00,2004-12-22T13:55Z,1.11,0.0,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-23,,Xip 10,-77.668,180,91.69,2004-12-23,02:55:00,2004-12-22T13:55Z,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,39.24,2004-12-24,05:10:00,2004-12-23T16:10Z,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74
IVARS 4-1,2004-12-24,,23,-76.4095,171.067,40.87,2004-12-24,05:10:00,2004-12-23T16:10Z,5.16,0.0,0.0,0.0,0.0,0.37,1.11,1.47,1.11,0.37,0.74
