Cruise,Latitude,Longitude,Date_Time_PST,Temperature,Salinity,PN,POC,Beam_attenuation,ISO_DateTime_UTC
OC1601A,45.66072,-124.02727,01/25/2016 04:52,10.91,29.79,0.46,3.41,0.78,2016-01-25T12:52Z
OC1601A,45.73477,-124.39109,01/25/2016 09:29,11.43,32.32,0.33,1.97,0.57,2016-01-25T17:29Z
OC1601A,45.73813,-124.43165,01/25/2016 10:20,11.41,32.37,0.28,1.57,0.12,2016-01-25T18:20Z
OC1601A,45.73821,-124.50925,01/25/2016 11:10,11.42,32.38,0.23,1.78,0.11,2016-01-25T19:10Z
OC1601A,45.72963,-124.54817,01/25/2016 12:00,11.41,32.39,0.24,1.62,0.12,2016-01-25T20:00Z
OC1601A,45.73493,-124.51146,01/25/2016 13:16,11.41,32.39,0.21,1.33,0.13,2016-01-25T21:16Z
OC1601A,45.73354,-124.28105,01/25/2016 14:07,11.52,32.24,0.27,2.11,0.19,2016-01-25T22:07Z
OC1601A,45.7365,-124.19097,01/25/2016 14:57,11.45,32.16,0.33,2.51,0.20,2016-01-25T22:57Z
OC1601A,45.73479,-124.17402,01/25/2016 15:47,11.43,32.1,0.43,2.9,0.22,2016-01-25T23:47Z
OC1601A,45.73407,-124.13406,01/25/2016 16:37,11.37,31.93,0.29,2.47,0.28,2016-01-26T00:37Z
OC1601A,45.73379,-124.09998,01/25/2016 17:27,11.32,31.74,0.32,3.01,0.33,2016-01-26T01:27Z
OC1601A,45.73437,-124.04923,01/25/2016 18:17,11.11,30.2,0.5,4.52,0.61,2016-01-26T02:17Z
OC1601A,45.73342,-124.02547,01/25/2016 19:08,10.94,27.91,0.83,8.2,1.11,2016-01-26T03:08Z
OC1601A,45.73338,-124.00166,01/25/2016 21:21,10.77,26,0.67,6.34,1.68,2016-01-26T05:21Z
OC1601A,45.57221,-124.06513,01/25/2016 23:02,11.16,30.02,0.87,6.78,0.70,2016-01-26T07:02Z
OC1601A,45.5058,-124.07305,01/25/2016 23:52,11.11,29.18,0.58,5.78,0.94,2016-01-26T07:52Z
OC1601A,45.48058,-124.15589,01/26/2016 00:29,11.38,31.62,1.02,6.1,0.32,2016-01-26T08:29Z
OC1601A,45.36046,-124.18375,01/26/2016 01:20,11.43,32.09,0.29,2.1,0.20,2016-01-26T09:20Z
OC1601A,45.25294,-124.1296,01/26/2016 02:10,11.36,31.62,0.47,3.06,0.34,2016-01-26T10:10Z
OC1601A,45.23126,-124.14664,01/26/2016 03:00,11.37,31.7,0.47,3.78,0.31,2016-01-26T11:00Z
OC1601A,45.11829,-124.20013,01/26/2016 03:45,11.59,32.35,0.23,1.37,0.18,2016-01-26T11:45Z
OC1601A,45.02092,-124.18491,01/26/2016 04:36,11.45,31.65,0.28,1.89,0.34,2016-01-26T12:36Z
OC1601A,44.98267,-124.12396,01/26/2016 05:26,11.28,30.03,0.78,4.79,0.82,2016-01-26T13:26Z
OC1601A,44.91905,-124.12604,01/26/2016 06:16,11.26,29.61,1.28,8.38,1.00,2016-01-26T14:16Z
