scan,timeY,prDM,t090C,t190C,c0S/m,c1S/m,V0,V1,V2,V3,V4,V5,sbeox0V,sbeox1V,CStarAt0,CStarTr0,flECO-AFL,turbWETntu0,par,latitude,longitude,depSM,potemp090C,potemp190C,sal00,sal11,sigma-é00,sigma-é11,sbeox0Mg/L,sbeox0Mm/L,sbeox1Mg/L,sbeox1Mm/L,oxsolMg/L,oxsatMg/L,dm,sva,T2-T190C,secS-priS,flag
1,1551416593,13.129,17.9078,17.9066,4.612163,4.612532,2.7009,4.4811,2.9609,0,0.2051,0.0806,4.4811,-1.23E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.042,17.9056,17.9044,35.2655,35.2697,25.4988,25.5023,11.9951,374.852,-1.9915,-62.235,7.67684,7.66553,0,247.805,-0.0012,0.0042,0.00E+00
2,1551416593,13.13,17.9079,17.9069,4.6122,4.612497,2.7009,4.4811,2.9609,0,0.2051,0.0806,4.4811,-1.25E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.043,17.9057,17.9047,35.2658,35.2692,25.4989,25.5018,11.9951,374.851,-1.9915,-62.235,7.67681,7.6655,0,247.791,-0.001,0.0034,0.00E+00
3,1551416593,13.13,17.9083,17.9067,4.612253,4.612453,2.7009,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.26E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.043,17.9061,17.9045,35.2659,35.269,25.4989,25.5017,11.995,374.848,-1.9915,-62.235,7.67675,7.66544,0,247.792,-0.0016,0.0031,0.00E+00
4,1551416593,13.13,17.9085,17.9071,4.612269,4.612497,2.6996,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.27E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.043,17.9063,17.9049,35.2658,35.269,25.4988,25.5016,11.9949,374.847,-1.9915,-62.235,7.67672,7.66541,0,247.8,-0.0014,0.0032,0.00E+00
5,1551416593,13.131,17.9083,17.9069,4.612201,4.612497,2.7009,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.29E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.044,17.9061,17.9047,35.2654,35.2692,25.4986,25.5018,11.995,374.849,-1.9915,-62.235,7.67677,7.66546,0,247.825,-0.0014,0.0037,0.00E+00
6,1551416593,13.133,17.9083,17.9069,4.612201,4.612497,2.7009,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.30E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.046,17.9061,17.9047,35.2654,35.2692,25.4986,25.5018,11.995,374.849,-1.9915,-62.235,7.67677,7.66546,0,247.825,-0.0014,0.0037,0.00E+00
7,1551416593,13.135,17.9083,17.9071,4.612201,4.612512,2.7009,4.4811,2.9499,0,0.2051,0.0806,4.4811,-1.31E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.048,17.9061,17.9049,35.2654,35.2691,25.4986,25.5017,11.995,374.849,-1.9915,-62.235,7.67677,7.66546,0,247.825,-0.0012,0.0037,0.00E+00
8,1551416593,13.137,17.9083,17.9071,4.612194,4.612512,2.6996,4.4811,2.9621,0,0.2051,0.0806,4.4811,-1.32E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.05,17.9061,17.9049,35.2654,35.2691,25.4985,25.5017,11.995,374.849,-1.9915,-62.235,7.67677,7.66546,0,247.829,-0.0012,0.0038,0.00E+00
9,1551416593,13.141,17.9082,17.9071,4.612194,4.612512,2.7009,4.4811,2.9731,0,0.2051,0.0806,4.4811,-1.34E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.054,17.906,17.9049,35.2655,35.2691,25.4986,25.5017,11.995,374.85,-1.9915,-62.235,7.67678,7.66547,0,247.821,-0.0011,0.0037,0.00E+00
10,1551416593,13.144,17.9082,17.9071,4.612194,4.612512,2.6996,4.4811,2.9731,0,0.2051,0.0806,4.4811,-1.35E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.057,17.906,17.9049,35.2655,35.2691,25.4986,25.5017,11.995,374.85,-1.9915,-62.235,7.67678,7.66547,0,247.821,-0.0011,0.0037,0.00E+00
11,1551416593,13.147,17.9083,17.9071,4.612194,4.612512,2.7009,4.4811,2.9731,0,0.2051,0.0806,4.4811,-1.36E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.06,17.9061,17.9049,35.2654,35.2691,25.4985,25.5017,11.995,374.85,-1.9915,-62.235,7.67677,7.66546,0,247.83,-0.0012,0.0038,0.00E+00
12,1551416593,13.151,17.9083,17.9071,4.612194,4.612512,2.7009,4.4811,2.9731,0,0.2051,0.0806,4.4811,-1.38E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.064,17.9061,17.9049,35.2654,35.2691,25.4985,25.5017,11.995,374.85,-1.9915,-62.235,7.67677,7.66546,0.0001,247.83,-0.0012,0.0038,0.00E+00
13,1551416593,13.154,17.9083,17.9071,4.612194,4.612504,2.6996,4.4799,2.9731,0,0.2051,0.0806,4.4799,-1.39E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.067,17.9061,17.9049,35.2654,35.2691,25.4985,25.5016,11.9914,374.738,-1.9915,-62.235,7.67677,7.66546,0.0001,247.831,-0.0012,0.0037,0.00E+00
14,1551416593,13.157,17.9083,17.9071,4.612194,4.612504,2.6996,4.475,2.967,0,0.2051,0.0806,4.475,-1.40E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.07,17.9061,17.9049,35.2654,35.2691,25.4985,25.5016,11.9767,374.278,-1.9915,-62.235,7.67677,7.66546,0.0001,247.831,-0.0012,0.0037,0.00E+00
15,1551416593,13.16,17.9083,17.907,4.612194,4.612504,2.6996,4.4737,2.967,0,0.2051,0.0806,4.4737,-1.41E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.073,17.9061,17.9048,35.2654,35.2692,25.4985,25.5017,11.9728,374.156,-1.9915,-62.235,7.67677,7.66546,0.0001,247.831,-0.0013,0.0038,0.00E+00
16,1551416593,13.163,17.9083,17.907,4.612194,4.612497,2.6996,4.4737,2.967,0,0.2051,0.0806,4.4737,-1.43E-07,2.2199,57.4086,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.076,17.9061,17.9048,35.2654,35.2691,25.4985,25.5017,11.9728,374.156,-1.9915,-62.235,7.67677,7.66546,0.0001,247.831,-0.0013,0.0037,0.00E+00
17,1551416593,13.166,17.9083,17.907,4.612194,4.61249,2.7009,4.4737,2.967,0,0.2051,0.0806,4.4737,-1.44E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.079,17.9061,17.9048,35.2654,35.269,25.4985,25.5016,11.9728,374.156,-1.9915,-62.235,7.67677,7.66546,0.0001,247.831,-0.0013,0.0037,0.00E+00
18,1551416593,13.168,17.9083,17.907,4.612194,4.612497,2.7009,4.4737,2.967,0,0.2051,0.0806,4.4737,-1.45E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.081,17.9061,17.9048,35.2654,35.2691,25.4985,25.5017,11.9728,374.156,-1.9915,-62.235,7.67677,7.66546,0.0001,247.831,-0.0013,0.0037,0.00E+00
19,1551416593,13.171,17.9083,17.907,4.612194,4.612504,2.7009,4.4737,2.9866,0,0.2051,0.0806,4.4737,-1.47E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.084,17.9061,17.9048,35.2654,35.2691,25.4985,25.5017,11.9728,374.156,-1.9915,-62.235,7.67677,7.66546,0.0001,247.832,-0.0013,0.0038,0.00E+00
20,1551416593,13.173,17.9083,17.907,4.612194,4.612519,2.7009,4.4737,3.0061,0,0.2051,0.0806,4.4737,-1.48E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.086,17.9061,17.9048,35.2654,35.2693,25.4985,25.5018,11.9728,374.156,-1.9915,-62.235,7.67677,7.66546,0.0001,247.832,-0.0013,0.0039,0.00E+00
21,1551416593,13.174,17.9083,17.9071,4.612201,4.612519,2.7009,4.4737,3.0195,0,0.2051,0.0806,4.4737,-1.49E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.087,17.9061,17.9049,35.2654,35.2692,25.4985,25.5017,11.9728,374.156,-1.9915,-62.235,7.67677,7.66546,0.0001,247.827,-0.0012,0.0038,0.00E+00
22,1551416593,13.176,17.9083,17.9071,4.612201,4.612519,2.7009,4.4737,3.033,0,0.2051,0.0806,4.4737,-1.50E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.089,17.9061,17.9049,35.2654,35.2692,25.4985,25.5017,11.9728,374.156,-1.9915,-62.235,7.67677,7.66546,0.0001,247.827,-0.0012,0.0038,0.00E+00
23,1551416594,13.176,17.9083,17.9073,4.612201,4.61252,2.7009,4.4737,3.0488,0,0.2051,0.0806,4.4737,-1.52E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.089,17.9061,17.9051,35.2654,35.269,25.4985,25.5016,11.9728,374.156,-1.9915,-62.235,7.67677,7.66546,0.0001,247.827,-0.001,0.0036,0.00E+00
24,1551416594,13.177,17.9083,17.9073,4.612194,4.61252,2.7009,4.4737,3.0488,0,0.2051,0.0806,4.4737,-1.53E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.09,17.9061,17.9051,35.2654,35.269,25.4985,25.5016,11.9728,374.157,-1.9915,-62.235,7.67678,7.66546,0.0001,247.832,-0.001,0.0037,0.00E+00
25,1551416594,13.178,17.9083,17.9073,4.612186,4.612534,2.7009,4.4737,3.0488,0,0.2051,0.0806,4.4737,-1.54E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.091,17.9061,17.9051,35.2653,35.2691,25.4985,25.5016,11.9748,374.218,-1.9915,-62.235,7.67678,7.66546,0.0001,247.837,-0.001,0.0038,0.00E+00
26,1551416594,13.178,17.9083,17.9073,4.612186,4.612534,2.7021,4.4737,3.0488,0,0.2051,0.0806,4.4737,-1.56E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.091,17.9061,17.9051,35.2653,35.2691,25.4985,25.5016,11.9763,374.263,-1.9915,-62.235,7.67678,7.66546,0.0001,247.837,-0.001,0.0038,0.00E+00
27,1551416594,13.178,17.9083,17.9073,4.612186,4.612534,2.7021,4.4737,3.0488,0,0.2051,0.0806,4.4737,-1.57E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.091,17.9061,17.9051,35.2653,35.2691,25.4985,25.5016,11.9777,374.309,-1.9915,-62.235,7.67678,7.66546,0.0001,247.837,-0.001,0.0038,0.00E+00
28,1551416594,13.178,17.9083,17.9073,4.612194,4.612541,2.7021,4.4737,3.033,0,0.2051,0.0806,4.4737,-1.58E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.091,17.9061,17.9051,35.2654,35.2692,25.4985,25.5017,11.9792,374.355,-1.9915,-62.235,7.67678,7.66546,0.0001,247.832,-0.001,0.0038,0.00E+00
29,1551416594,13.178,17.9083,17.9073,4.612194,4.612541,2.7021,4.4737,3.033,0,0.2051,0.0806,4.4737,-1.60E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.091,17.9061,17.9051,35.2654,35.2692,25.4985,25.5017,11.9807,374.401,-1.9915,-62.235,7.67678,7.66546,0.0001,247.832,-0.001,0.0038,0.00E+00
30,1551416594,13.179,17.9083,17.9073,4.612194,4.612541,2.7021,4.4737,3.0317,0,0.2051,0.0806,4.4737,-1.61E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.092,17.9061,17.9051,35.2654,35.2692,25.4985,25.5017,11.9821,374.447,-1.9915,-62.235,7.67678,7.66546,0.0001,247.832,-0.001,0.0038,0.00E+00
31,1551416594,13.179,17.9083,17.9073,4.612194,4.612541,2.7021,4.4737,3.0256,0,0.2051,0.0806,4.4737,-1.62E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.092,17.9061,17.9051,35.2654,35.2692,25.4985,25.5017,11.9836,374.493,-1.9915,-62.235,7.67678,7.66546,0.0001,247.832,-0.001,0.0038,0.00E+00
32,1551416594,13.179,17.9083,17.9073,4.612209,4.612541,2.7021,4.4737,3.0232,0,0.2051,0.0806,4.4737,-1.63E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.092,17.9061,17.9051,35.2655,35.2692,25.4986,25.5017,11.9851,374.538,-1.9915,-62.235,7.67677,7.66545,0.0001,247.823,-0.001,0.0037,0.00E+00
33,1551416594,13.179,17.9083,17.9073,4.612209,4.612541,2.7021,4.4737,3.022,0,0.2051,0.0806,4.4737,-1.65E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.092,17.9061,17.9051,35.2655,35.2692,25.4986,25.5017,11.9865,374.584,-1.9915,-62.235,7.67677,7.66545,0.0001,247.823,-0.001,0.0037,0.00E+00
34,1551416594,13.179,17.9083,17.9073,4.612224,4.612541,2.7021,4.4786,3.022,0,0.2051,0.0806,4.4786,-1.66E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.092,17.9061,17.9051,35.2656,35.2692,25.4987,25.5017,12.0027,375.09,-1.9915,-62.235,7.67676,7.66545,0.0001,247.813,-0.001,0.0036,0.00E+00
35,1551416594,13.179,17.9083,17.9073,4.612224,4.612541,2.7021,4.4811,3.022,0,0.2051,0.0806,4.4811,-1.67E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.092,17.9061,17.9051,35.2656,35.2692,25.4987,25.5017,12.0117,375.37,-1.9915,-62.235,7.67676,7.66545,0.0001,247.813,-0.001,0.0036,0.00E+00
36,1551416594,13.179,17.9083,17.9073,4.612224,4.612534,2.7021,4.4811,3.0159,0,0.2051,0.0806,4.4811,-1.69E-07,2.2163,57.4605,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.092,17.9061,17.9051,35.2656,35.2691,25.4987,25.5016,12.0131,375.416,-1.9915,-62.235,7.67676,7.66545,0.0001,247.813,-0.001,0.0035,0.00E+00
37,1551416594,13.179,17.9083,17.9073,4.612224,4.612534,2.7009,4.4811,3.0061,0,0.2051,0.0806,4.4811,-1.70E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.092,17.9061,17.9051,35.2656,35.2691,25.4987,25.5016,12.0146,375.462,-1.9915,-62.235,7.67676,7.66545,0.0001,247.813,-0.001,0.0035,0.00E+00
38,1551416594,13.179,17.9083,17.9073,4.612224,4.612534,2.7009,4.4811,2.9988,0,0.2051,0.0806,4.4811,-1.71E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.092,17.9061,17.9051,35.2656,35.2691,25.4987,25.5016,12.0158,375.499,-1.9915,-62.235,7.67676,7.66545,0.0001,247.813,-0.001,0.0035,0.00E+00
39,1551416594,13.178,17.9082,17.9073,4.612224,4.61252,2.7009,4.4811,2.9939,0,0.2051,0.0806,4.4811,-1.72E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.091,17.906,17.9051,35.2657,35.269,25.4988,25.5016,12.0158,375.498,-1.9915,-62.235,7.67677,7.66546,0.0001,247.805,-0.0009,0.0033,0.00E+00
40,1551416594,13.178,17.9082,17.9073,4.612224,4.61252,2.7009,4.4811,2.9866,0,0.2051,0.0806,4.4811,-1.74E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.091,17.906,17.9051,35.2657,35.269,25.4988,25.5016,12.0154,375.485,-1.9915,-62.235,7.67677,7.66546,0.0001,247.805,-0.0009,0.0033,0.00E+00
41,1551416594,13.178,17.9082,17.9073,4.612224,4.61252,2.7009,4.4811,2.9768,0,0.2051,0.0806,4.4811,-1.75E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.091,17.906,17.9051,35.2657,35.269,25.4988,25.5016,12.0149,375.47,-1.9915,-62.235,7.67677,7.66546,0.0001,247.805,-0.0009,0.0033,0.00E+00
42,1551416594,13.178,17.9082,17.9073,4.612224,4.61252,2.7009,4.4811,2.9707,0,0.2051,0.0806,4.4811,-1.76E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.091,17.906,17.9051,35.2657,35.269,25.4988,25.5016,12.0143,375.453,-1.9915,-62.235,7.67677,7.66546,0.0001,247.805,-0.0009,0.0033,0.00E+00
43,1551416594,13.177,17.9082,17.9073,4.612231,4.61252,2.7009,4.4811,2.9695,0,0.2051,0.0806,4.4811,-1.78E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.09,17.906,17.9051,35.2658,35.269,25.4988,25.5016,12.0137,375.433,-1.9915,-62.235,7.67677,7.66546,0.0001,247.8,-0.0009,0.0033,0.00E+00
44,1551416594,13.177,17.9083,17.9073,4.612239,4.612534,2.7009,4.4811,2.9658,0,0.2051,0.0806,4.4811,-1.79E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.09,17.9061,17.9051,35.2657,35.2691,25.4988,25.5016,12.013,375.411,-1.9915,-62.235,7.67676,7.66544,0.0001,247.804,-0.001,0.0034,0.00E+00
45,1551416594,13.176,17.9083,17.9073,4.612239,4.612534,2.7009,4.4811,2.956,0,0.2051,0.0806,4.4811,-1.80E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.089,17.9061,17.9051,35.2657,35.2691,25.4988,25.5016,12.0122,375.387,-1.9915,-62.235,7.67676,7.66544,0.0001,247.804,-0.001,0.0034,0.00E+00
46,1551416594,13.175,17.9082,17.9073,4.612239,4.61252,2.7009,4.4811,2.9377,0,0.2051,0.0806,4.4811,-1.82E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.088,17.906,17.9051,35.2658,35.269,25.4989,25.5016,12.0114,375.361,-1.9915,-62.235,7.67677,7.66545,0.0001,247.795,-0.0009,0.0032,0.00E+00
47,1551416595,13.174,17.9083,17.9073,4.612239,4.61252,2.7009,4.4811,2.9206,0,0.2051,0.0806,4.4811,-1.83E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.087,17.9061,17.9051,35.2657,35.269,25.4988,25.5016,12.0104,375.332,-1.9915,-62.235,7.67676,7.66544,0.0001,247.804,-0.001,0.0033,0.00E+00
48,1551416595,13.173,17.9083,17.9073,4.612239,4.612534,2.7009,4.4811,2.9072,0,0.2051,0.0806,4.4811,-1.84E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.086,17.9061,17.9051,35.2657,35.2691,25.4988,25.5016,12.0095,375.301,-1.9915,-62.235,7.67676,7.66544,0.0001,247.804,-0.001,0.0034,0.00E+00
49,1551416595,13.171,17.9083,17.9073,4.612239,4.612541,2.7009,4.4811,2.8938,0,0.2051,0.0806,4.4811,-1.85E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.084,17.9061,17.9051,35.2657,35.2692,25.4988,25.5017,12.0084,375.268,-1.9915,-62.235,7.67676,7.66544,0.0001,247.803,-0.001,0.0035,0.00E+00
50,1551416595,13.168,17.9083,17.9073,4.612209,4.612541,2.7009,4.4811,2.8767,0,0.2051,0.0806,4.4811,-1.87E-07,2.2181,57.4346,1.5414,0.1179,1.00E-12,27.01492,-111.41082,13.081,17.9061,17.9051,35.2655,35.2692,25.4986,25.5017,12.0067,375.215,-1.9915,-62.235,7.67677,7.66545,0.0001,247.822,-0.001,0.0037,0.00E+00
51,1551416595,13.166,17.9082,17.9073,4.612209,4.612534,2.7009,4.4811,2.8742,0,0.2027,0.0806,4.4811,-1.88E-07,2.2181,57.4346,1.5145,0.1179,1.00E-12,27.01492,-111.41082,13.079,17.906,17.9051,35.2656,35.2691,25.4987,25.5016,12.0044,375.142,-1.9915,-62.235,7.67678,7.66547,0.0001,247.813,-0.0009,0.0036,0.00E+00
52,1551416595,13.163,17.9081,17.9073,4.612201,4.612541,2.7009,4.4811,2.8742,0,0.2002,0.0806,4.4811,-1.89E-07,2.2181,57.4346,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.076,17.9059,17.9051,35.2656,35.2692,25.4987,25.5017,12.0021,375.069,-1.9915,-62.235,7.67679,7.66548,0.0001,247.809,-0.0008,0.0036,0.00E+00
53,1551416595,13.16,17.908,17.9074,4.612185,4.612541,2.7009,4.4811,2.8669,0,0.2002,0.0806,4.4811,-1.91E-07,2.2181,57.4346,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.073,17.9058,17.9052,35.2656,35.2691,25.4987,25.5016,11.9997,374.996,-1.9915,-62.235,7.67681,7.6655,0.0001,247.811,-0.0006,0.0036,0.00E+00
54,1551416595,13.158,17.908,17.9074,4.612185,4.612541,2.7009,4.4811,2.8669,0,0.2002,0.0806,4.4811,-1.92E-07,2.2181,57.4346,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.071,17.9058,17.9052,35.2656,35.2691,25.4987,25.5016,11.9973,374.921,-1.9915,-62.234,7.67681,7.6655,0.0001,247.81,-0.0006,0.0036,0.00E+00
55,1551416595,13.155,17.9078,17.9074,4.612155,4.612541,2.7009,4.4811,2.8669,0,0.2002,0.0806,4.4811,-1.93E-07,2.2181,57.4346,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.068,17.9056,17.9052,35.2655,35.2691,25.4987,25.5016,11.9949,374.846,-1.9915,-62.234,7.67684,7.66553,0.0001,247.812,-0.0004,0.0037,0.00E+00
56,1551416595,13.151,17.9078,17.9074,4.612148,4.612541,2.7021,4.4811,2.8718,0,0.2002,0.0806,4.4811,-1.94E-07,2.2163,57.4605,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.064,17.9056,17.9052,35.2654,35.2691,25.4987,25.5016,11.9925,374.77,-1.9915,-62.234,7.67685,7.66553,0.0001,247.816,-0.0004,0.0037,0.00E+00
57,1551416595,13.148,17.9076,17.9074,4.612147,4.612541,2.7021,4.4811,2.8742,0,0.2002,0.0806,4.4811,-1.96E-07,2.2163,57.4605,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.061,17.9054,17.9052,35.2656,35.2691,25.4988,25.5016,11.99,374.694,-1.9915,-62.234,7.67687,7.66555,0.0001,247.799,-0.0002,0.0036,0.00E+00
58,1551416595,13.144,17.9076,17.9074,4.612147,4.61252,2.7021,4.4811,2.8742,0,0.2002,0.0806,4.4811,-1.97E-07,2.2163,57.4605,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.057,17.9054,17.9052,35.2656,35.2689,25.4988,25.5015,11.9875,374.615,-1.9915,-62.234,7.67687,7.66555,0.0001,247.799,-0.0002,0.0034,0.00E+00
59,1551416595,13.141,17.9076,17.9074,4.612132,4.612541,2.7021,4.4811,2.8767,0,0.2002,0.0806,4.4811,-1.98E-07,2.2163,57.4605,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.054,17.9054,17.9052,35.2654,35.2691,25.4987,25.5016,11.9862,374.574,-1.9915,-62.234,7.67687,7.66556,0.0001,247.808,-0.0002,0.0037,0.00E+00
60,1551416595,13.138,17.9076,17.9074,4.612117,4.612541,2.7021,4.4811,2.8864,0,0.2002,0.0806,4.4811,-2.00E-07,2.2163,57.4605,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.051,17.9054,17.9052,35.2653,35.2691,25.4986,25.5016,11.9855,374.553,-1.9915,-62.234,7.67688,7.66557,0.0001,247.817,-0.0002,0.0038,0.00E+00
61,1551416595,13.136,17.9073,17.9074,4.612116,4.61252,2.7021,4.4811,2.8974,0,0.2002,0.0806,4.4811,-2.01E-07,2.2163,57.4605,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.049,17.9051,17.9052,35.2656,35.269,25.4989,25.5015,11.9849,374.534,-1.9915,-62.234,7.67691,7.6656,0.0001,247.792,0.0001,0.0034,0.00E+00
62,1551416595,13.134,17.9073,17.9073,4.612116,4.612513,2.7021,4.4811,2.906,0,0.2002,0.0806,4.4811,-2.02E-07,2.2163,57.4605,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.047,17.9051,17.9051,35.2656,35.269,25.4989,25.5015,11.9843,374.515,-1.9915,-62.234,7.67691,7.6656,0.0001,247.792,0,0.0034,0.00E+00
63,1551416595,13.133,17.9073,17.9073,4.612116,4.612512,2.7021,4.4811,2.9182,0,0.2002,0.0806,4.4811,-2.03E-07,2.2163,57.4605,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.046,17.9051,17.9051,35.2656,35.269,25.4989,25.5015,11.9838,374.498,-1.9915,-62.234,7.67691,7.6656,0.0001,247.791,0,0.0034,0.00E+00
64,1551416595,13.132,17.9073,17.9073,4.612116,4.612512,2.7033,4.4811,2.9219,0,0.2002,0.0806,4.4811,-2.05E-07,2.2145,57.4865,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.045,17.9051,17.9051,35.2656,35.269,25.4989,25.5015,11.9833,374.482,-1.9915,-62.234,7.67691,7.6656,0.0001,247.791,0,0.0034,0.00E+00
65,1551416595,13.131,17.9073,17.9071,4.612116,4.612497,2.7033,4.4811,2.9267,0,0.2002,0.0806,4.4811,-2.06E-07,2.2145,57.4865,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.044,17.9051,17.9049,35.2656,35.269,25.4989,25.5016,11.9828,374.468,-1.9915,-62.235,7.67691,7.6656,0.0001,247.791,-0.0002,0.0034,0.00E+00
66,1551416595,13.131,17.9075,17.9071,4.612132,4.612476,2.7045,4.4811,2.9377,0,0.2002,0.0806,4.4811,-2.07E-07,2.2127,57.5125,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.044,17.9053,17.9049,35.2655,35.2688,25.4988,25.5015,11.9824,374.454,-1.9915,-62.235,7.67688,7.66557,0.0001,247.799,-0.0004,0.0033,0.00E+00
67,1551416595,13.13,17.9075,17.9071,4.612132,4.612468,2.7045,4.4811,2.9597,0,0.2002,0.0806,4.4811,-2.09E-07,2.2127,57.5125,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.043,17.9053,17.9049,35.2655,35.2688,25.4988,25.5014,11.982,374.443,-1.9915,-62.235,7.67688,7.66557,0.0001,247.799,-0.0004,0.0032,0.00E+00
68,1551416595,13.13,17.9078,17.9069,4.612148,4.612467,2.7045,4.4811,2.9939,0,0.2002,0.0806,4.4811,-2.10E-07,2.2127,57.5125,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.043,17.9056,17.9047,35.2654,35.2689,25.4987,25.5016,11.9816,374.431,-1.9915,-62.235,7.67685,7.66553,0.0001,247.815,-0.0009,0.0035,0.00E+00
69,1551416595,13.13,17.9078,17.9067,4.612148,4.61246,2.7045,4.4811,3.0232,0,0.2002,0.0806,4.4811,-2.11E-07,2.2127,57.5125,1.4877,0.1179,1.00E-12,27.01492,-111.41082,13.043,17.9056,17.9045,35.2654,35.269,25.4987,25.5017,11.9814,374.423,-1.9915,-62.235,7.67685,7.66553,0.0001,247.815,-0.0011,0.0036,0.00E+00
